fips,county_name,region,population,burden_component,capacity_component,vulnerability_component,egi_score,egi_rank,egi_quintile
28055,"Issaquena County",Delta,1206,71.92,100.0,90.12,87.35,1,1
28051,"Holmes County",Delta,16848,72.03,85.38,96.3,84.57,2,1
28163,"Yazoo County",Delta,27467,73.29,81.38,97.53,84.07,3,1
28143,"Tunica County",Delta,9787,71.61,88.39,87.65,82.55,4,1
28053,"Humphreys County",Delta,7744,78.92,68.2,100.0,82.37,5,1
28103,"Noxubee County",Other,10261,61.2,83.39,91.36,78.65,6,1
28119,"Quitman County",Delta,6113,72.5,72.11,85.19,76.6,7,1
28133,"Sunflower County",Delta,25867,61.68,80.96,82.72,75.12,8,1
28135,"Tallahatchie County",Delta,12621,60.66,80.49,81.48,74.21,9,1
28069,"Kemper County",Other,8980,47.08,87.34,86.42,73.61,10,1
28011,"Bolivar County",Delta,30688,57.88,67.29,92.59,72.58,11,1
28151,"Washington County",Delta,44604,56.34,59.66,98.77,71.59,12,1
28079,"Leake County",Other,21335,50.83,85.79,77.78,71.47,13,1
28027,"Coahoma County",Delta,21264,62.98,56.35,95.06,71.47,14,1
28123,"Scott County",Other,27943,62.13,76.27,75.31,71.24,15,1
28083,"Leflore County",Delta,27920,55.96,68.79,88.89,71.21,16,1
28021,"Claiborne County",Other,9044,59.64,76.96,72.84,69.81,17,1
28063,"Jefferson County",Other,7207,64.26,65.83,79.01,69.7,18,2
28077,"Lawrence County",Other,11933,66.15,77.78,64.2,69.38,19,2
28097,"Montgomery County",Other,9803,55.17,78.75,74.07,69.33,20,2
28013,"Calhoun County",Other,13193,59.97,85.64,59.26,68.29,21,2
28125,"Sharkey County",Delta,3910,72.95,37.02,93.83,67.93,22,2
28099,"Neshoba County",Other,28970,59.91,71.89,71.6,67.8,23,2
28017,"Chickasaw County",Other,17024,56.25,69.96,76.54,67.58,24,2
28153,"Wayne County","Pine Belt",19760,56.91,75.08,70.37,67.45,25,2
28113,"Pike County",Other,40098,56.59,61.26,83.95,67.27,26,2
